timestamp,pack_size,smac,dmac,sip,dip,sport,dport,trans_protocol,syn,ack,payload_len,http_host_label,http_method_label,http_uri_label
1564736659076321,58,2.0,0.0,2.0,6.0,56338,80,6,0,1,4,0.0,0.0,0.0
1564736659102246,54,1.0,2.0,5.0,2.0,80,56338,6,0,1,0,0.0,0.0,0.0
1564736659102276,58,1.0,2.0,5.0,2.0,80,56338,6,0,1,4,0.0,0.0,0.0
1564736659291134,54,0.0,0.0,0.0,17.0,54189,443,6,0,1,0,0.0,0.0,0.0
1564736659299301,54,1.0,1.0,15.0,1.0,443,54189,6,0,1,0,0.0,0.0,0.0
1564736659351955,54,2.0,0.0,2.0,6.0,56338,80,6,0,1,0,0.0,0.0,0.0
1564736659353150,54,0.0,0.0,0.0,17.0,54189,443,6,0,1,0,0.0,0.0,0.0
1564736664635823,66,0.0,0.0,0.0,0.0,54192,8077,6,1,0,0,0.0,0.0,0.0
1564736664637149,66,0.0,0.0,0.0,0.0,54193,8077,6,1,0,0,0.0,0.0,0.0
1564736664638933,66,0.0,0.0,0.0,0.0,54194,8077,6,1,0,0,0.0,0.0,0.0
1564736664639085,66,0.0,0.0,0.0,0.0,54195,8077,6,1,0,0,0.0,0.0,0.0
1564736664639406,66,0.0,0.0,0.0,0.0,54196,8077,6,1,0,0,0.0,0.0,0.0
1564736664639654,66,0.0,0.0,0.0,0.0,54197,8077,6,1,0,0,0.0,0.0,0.0
1564736664640143,66,0.0,0.0,0.0,0.0,54198,8077,6,1,0,0,0.0,0.0,0.0
1564736664640421,66,0.0,0.0,0.0,0.0,54199,8077,6,1,0,0,0.0,0.0,0.0
1564736664640781,66,0.0,0.0,0.0,0.0,54200,8077,6,1,0,0,0.0,0.0,0.0
1564736664641664,66,1.0,1.0,1.0,1.0,8077,54192,6,1,1,0,0.0,0.0,0.0
1564736664643618,66,1.0,1.0,1.0,1.0,8077,54193,6,1,1,0,0.0,0.0,0.0
1564736664644010,66,1.0,1.0,1.0,1.0,8077,54196,6,1,1,0,0.0,0.0,0.0
1564736664644559,66,1.0,1.0,1.0,1.0,8077,54194,6,1,1,0,0.0,0.0,0.0
1564736664645026,66,1.0,1.0,1.0,1.0,8077,54197,6,1,1,0,0.0,0.0,0.0
1564736664645178,66,1.0,1.0,1.0,1.0,8077,54195,6,1,1,0,0.0,0.0,0.0
1564736664646561,66,1.0,1.0,1.0,1.0,8077,54198,6,1,1,0,0.0,0.0,0.0
1564736664646679,66,1.0,1.0,1.0,1.0,8077,54200,6,1,1,0,0.0,0.0,0.0
1564736664647001,66,1.0,1.0,1.0,1.0,8077,54199,6,1,1,0,0.0,0.0,0.0
1564736664649668,66,0.0,0.0,0.0,0.0,54203,8077,6,1,0,0,0.0,0.0,0.0
1564736664649870,66,0.0,0.0,0.0,0.0,54204,8077,6,1,0,0,0.0,0.0,0.0
1564736664654194,66,0.0,0.0,0.0,0.0,54206,8077,6,1,0,0,0.0,0.0,0.0
1564736664654364,66,0.0,0.0,0.0,0.0,54207,8077,6,1,0,0,0.0,0.0,0.0
1564736664655245,66,1.0,1.0,1.0,1.0,8077,54203,6,1,1,0,0.0,0.0,0.0
1564736664655287,66,0.0,0.0,0.0,0.0,54211,8077,6,1,0,0,0.0,0.0,0.0
1564736664655952,66,1.0,1.0,1.0,1.0,8077,54204,6,1,1,0,0.0,0.0,0.0
1564736664658545,54,0.0,0.0,0.0,0.0,54192,8077,6,0,1,0,0.0,0.0,0.0
1564736664659032,66,1.0,1.0,1.0,1.0,8077,54206,6,1,1,0,0.0,0.0,0.0
1564736664659045,54,0.0,0.0,0.0,0.0,54193,8077,6,0,1,0,0.0,0.0,0.0
1564736664659436,66,1.0,1.0,1.0,1.0,8077,54207,6,1,1,0,0.0,0.0,0.0
1564736664659776,66,1.0,1.0,1.0,1.0,8077,54211,6,1,1,0,0.0,0.0,0.0
1564736664663275,54,0.0,0.0,0.0,0.0,54194,8077,6,0,1,0,0.0,0.0,0.0
1564736664663510,54,0.0,0.0,0.0,0.0,54197,8077,6,0,1,0,0.0,0.0,0.0
1564736664663734,66,0.0,0.0,0.0,0.0,54214,8077,6,1,0,0,0.0,0.0,0.0
1564736664664008,66,0.0,0.0,0.0,0.0,54215,8077,6,1,0,0,0.0,0.0,0.0
1564736664664232,66,0.0,0.0,0.0,0.0,54216,8077,6,1,0,0,0.0,0.0,0.0
1564736664667979,66,1.0,1.0,1.0,1.0,8077,54216,6,1,1,0,0.0,0.0,0.0
1564736664668195,66,1.0,1.0,1.0,1.0,8077,54214,6,1,1,0,0.0,0.0,0.0
1564736664668561,66,1.0,1.0,1.0,1.0,8077,54215,6,1,1,0,0.0,0.0,0.0
1564736664685293,66,0.0,0.0,0.0,0.0,54217,8077,6,1,0,0,0.0,0.0,0.0
1564736664687637,367,0.0,0.0,0.0,0.0,54192,8077,6,0,1,313,1.0,1.0,2.0
1564736664687925,366,0.0,0.0,0.0,0.0,54193,8077,6,0,1,312,1.0,1.0,2.0
1564736664690302,66,1.0,1.0,1.0,1.0,8077,54217,6,1,1,0,0.0,0.0,0.0
1564736664692719,54,1.0,1.0,1.0,1.0,8077,54192,6,0,1,0,0.0,0.0,0.0
1564736664692901,54,1.0,1.0,1.0,1.0,8077,54193,6,0,1,0,0.0,0.0,0.0
1564736664696709,373,0.0,0.0,0.0,0.0,54194,8077,6,0,1,319,1.0,1.0,2.0
1564736664696710,366,0.0,0.0,0.0,0.0,54197,8077,6,0,1,312,1.0,1.0,2.0
1564736664696711,54,0.0,0.0,0.0,0.0,54195,8077,6,0,1,0,0.0,0.0,0.0
1564736664696712,54,0.0,0.0,0.0,0.0,54198,8077,6,0,1,0,0.0,0.0,0.0
1564736664696712,54,0.0,0.0,0.0,0.0,54200,8077,6,0,1,0,0.0,0.0,0.0
1564736664696712,54,0.0,0.0,0.0,0.0,54199,8077,6,0,1,0,0.0,0.0,0.0
1564736664696712,54,0.0,0.0,0.0,0.0,54203,8077,6,0,1,0,0.0,0.0,0.0
1564736664696712,54,0.0,0.0,0.0,0.0,54204,8077,6,0,1,0,0.0,0.0,0.0
1564736664696713,54,0.0,0.0,0.0,0.0,54206,8077,6,0,1,0,0.0,0.0,0.0
1564736664696713,54,0.0,0.0,0.0,0.0,54207,8077,6,0,1,0,0.0,0.0,0.0
1564736664696713,54,0.0,0.0,0.0,0.0,54211,8077,6,0,1,0,0.0,0.0,0.0
1564736664696713,366,0.0,0.0,0.0,0.0,54195,8077,6,0,1,312,1.0,1.0,2.0
1564736664696713,367,0.0,0.0,0.0,0.0,54198,8077,6,0,1,313,1.0,1.0,2.0
1564736664696714,373,0.0,0.0,0.0,0.0,54200,8077,6,0,1,319,1.0,1.0,2.0
1564736664696714,367,0.0,0.0,0.0,0.0,54199,8077,6,0,1,313,1.0,1.0,2.0
1564736664697634,366,0.0,0.0,0.0,0.0,54203,8077,6,0,1,312,1.0,1.0,2.0
1564736664697635,366,0.0,0.0,0.0,0.0,54204,8077,6,0,1,312,1.0,1.0,2.0
1564736664697635,367,0.0,0.0,0.0,0.0,54206,8077,6,0,1,313,1.0,1.0,2.0
1564736664697635,373,0.0,0.0,0.0,0.0,54207,8077,6,0,1,319,1.0,1.0,2.0
1564736664697635,366,0.0,0.0,0.0,0.0,54211,8077,6,0,1,312,1.0,1.0,2.0
1564736664697635,54,0.0,0.0,0.0,0.0,54216,8077,6,0,1,0,0.0,0.0,0.0
1564736664697636,54,0.0,0.0,0.0,0.0,54214,8077,6,0,1,0,0.0,0.0,0.0
1564736664697636,54,0.0,0.0,0.0,0.0,54215,8077,6,0,1,0,0.0,0.0,0.0
1564736664697636,367,0.0,0.0,0.0,0.0,54216,8077,6,0,1,313,1.0,1.0,2.0
1564736664697636,373,0.0,0.0,0.0,0.0,54214,8077,6,0,1,319,1.0,1.0,2.0
1564736664697637,367,0.0,0.0,0.0,0.0,54215,8077,6,0,1,313,1.0,1.0,2.0
1564736664697637,54,0.0,0.0,0.0,0.0,54217,8077,6,0,1,0,0.0,0.0,0.0
1564736664697637,366,0.0,0.0,0.0,0.0,54217,8077,6,0,1,312,1.0,1.0,2.0
1564736664701101,54,1.0,1.0,1.0,1.0,8077,54194,6,0,1,0,0.0,0.0,0.0
1564736664701264,54,1.0,1.0,1.0,1.0,8077,54197,6,0,1,0,0.0,0.0,0.0
1564736664701555,54,1.0,1.0,1.0,1.0,8077,54203,6,0,1,0,0.0,0.0,0.0
1564736664701742,54,1.0,1.0,1.0,1.0,8077,54216,6,0,1,0,0.0,0.0,0.0
1564736664701774,54,1.0,1.0,1.0,1.0,8077,54200,6,0,1,0,0.0,0.0,0.0
1564736664701784,54,1.0,1.0,1.0,1.0,8077,54198,6,0,1,0,0.0,0.0,0.0
1564736664702078,54,1.0,1.0,1.0,1.0,8077,54199,6,0,1,0,0.0,0.0,0.0
1564736664702094,54,1.0,1.0,1.0,1.0,8077,54206,6,0,1,0,0.0,0.0,0.0
